ts,action,symbol,qty,price,usd,pnl,reason
2026-08-06T13:30:55,BUY,SOXL,39,125.61,4898.79,,momentum +0.22% over 15m [aggressive]
2026-08-06T13:30:56,BUY,SQQQ,127,39.28,4988.56,,momentum +0.20% over 15m [aggressive]
2026-08-06T13:30:57,BUY,SOXS,106,47.1,4992.6,,momentum +0.06% over 15m [aggressive]
2026-08-06T13:33:58,BUY,AAPL,15,315.16,4727.4,,news+momentum +0.37% over 15m [aggressive]
2026-08-06T13:33:58,BUY,META,8,589.87,4718.92,,news+momentum +0.04% over 15m [aggressive]
2026-08-06T13:36:58,SELL,SOXL,39,126.85,4947.15,160.909983,take profit +3.4% ($+161)
2026-08-06T13:36:58,SELL,SOXS,106,46.77,4957.62,-192.92,stop loss -3.7% ($-193)
2026-08-06T13:36:59,BUY,NVDA,22,222.84,4902.48,,news+momentum +0.91% over 15m [aggressive]
2026-08-06T13:40:00,BUY,AMD,10,478.58,4785.8,,news+momentum +0.80% over 15m [aggressive]
2026-08-06T13:40:01,BUY,TSLA,15,319.06,4785.82,,news+momentum +0.69% over 15m [aggressive]
2026-08-06T13:46:01,SELL,SQQQ,127,38.8,4928.23,-67.394963,stop loss -1.3% ($-67)
2026-08-06T13:49:04,BUY,SOXL,37,132.24,4892.88,,momentum +5.28% over 15m [aggressive]
2026-08-06T13:55:04,SELL,SOXL,37,130.12,4814.44,-75.85,stop loss -1.6% ($-76)
2026-08-06T13:58:06,BUY,SOXL,37,132.05,4885.85,,momentum +6.08% over 15m [aggressive]
2026-08-06T14:07:08,SELL,SOXL,37,134.8,4987.6,106.56,take profit +2.2% ($+107)
2026-08-06T14:10:08,SELL,AMD,10,486.99,4869.9,91.72,take profit +1.9% ($+92)
2026-08-06T14:10:10,BUY,SOXL,36,136.27,4905.72,,momentum +4.45% over 15m [aggressive]
2026-08-06T14:13:12,BUY,AMD,10,487.38,4873.8,,news+momentum +1.08% over 15m [aggressive]
2026-08-06T14:25:14,SELL,NVDA,22,220.25,4845.51,-66.671198,stop loss -1.4% ($-67)
2026-08-06T14:28:16,BUY,TQQQ,68,72.71,4944.28,,momentum +0.83% over 15m [aggressive]
2026-08-06T14:34:16,SELL,SOXL,36,139.06,5006.16,75.380004,take profit +1.5% ($+75)
2026-08-06T14:37:18,BUY,SOXL,35,139.31,4875.85,,momentum +0.91% over 15m [aggressive]
2026-08-06T14:40:18,SELL,SOXL,35,136.57,4780.12,-63.875,stop loss -1.3% ($-64)
2026-08-06T14:43:19,BUY,SOXS,116,42.99,4986.84,,momentum +0.54% over 15m [aggressive]
2026-08-06T14:46:19,SELL,SOXS,116,43.69,5068.04,85.84,take profit +1.7% ($+86)
2026-08-06T14:49:20,BUY,SOXS,114,43.55,4964.7,,momentum +1.78% over 15m [aggressive]
2026-08-06T15:01:21,SELL,SOXS,114,42.81,4880.34,-61.390026,stop loss -1.2% ($-61)
2026-08-06T15:04:22,BUY,SOXL,36,136.9,4928.4,,momentum +0.54% over 15m [aggressive]
2026-08-06T15:10:22,SELL,SOXL,36,139.75,5031.0,90.72,take profit +1.8% ($+91)
2026-08-06T15:13:24,BUY,SOXL,35,139.5,4882.5,,momentum +2.72% over 15m [aggressive]
